bps=71604626; connections=1;
bps=55848497; connections=1;
bps=43550613; connections=1;
bps=48730525; connections=1;
bps=50026343; connections=1;
bps=47076622; connections=1;
bps=46348554; connections=1;
bps=43838601; connections=1;
bps=48615374; connections=1;
bps=43472665; connections=1;
bps=42910566; connections=1;
bps=44653730; connections=1;
bps=47864130; connections=1;
bps=48077780; connections=1;
bps=48911455; connections=1;
bps=48011647; connections=1;
bps=39569598; connections=1;
bps=45128452; connections=1;
bps=47938793; connections=1;
bps=50307313; connections=1;
bps=46091906; connections=1;
bps=49169900; connections=1;
bps=49634213; connections=1;
bps=50351720; connections=1;
bps=50432903; connections=1;
bps=41150997; connections=1;
bps=48752424; connections=1;
bps=51088492; connections=1;
bps=48583296; connections=1;
bps=50454000; connections=1;
bps=50126930; connections=1;
bps=46233618; connections=1;
bps=50299654; connections=1;
bps=49785741; connections=1;
bps=47922960; connections=1;
